file,DATE-OBS,UT,EXPTIME,MJD,OBSERVAT,NAXIS1,NAXIS2,OBJECT,FILTER,AIRMASS
data/test1.fits,2016-06-02,11:41:24.94,120.0,57541.487094,OAO/NAOJ,1024,1024,1984QY1_05,R,1.167
data/test2.fits,2016-06-02,13:52:11.04,120.0,57541.577906,OAO/NAOJ,1024,1024,1984QY1_11,R,1.2876
data/test3.fits,2016-06-02,16:32:13.93,120.0,57541.68905,OAO/NAOJ,1024,1024,1984QY1_19,R,1.7533
